Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
Q8JZS0	9359.5703	3826.9641	9418.1748	5500.2314	6370.8662	3914.4807	9131.5713	4490.5503	8561.4326	2894.364	5877.6055	0	0	0	0	0
Q8JZS6	1124.2057	722.8563	1319.7983	1376.8751	884.4135	1196.8992	891.4271	916.5275	1296.0533	797.0914	900.8155	0	0	0	0	0
Q8JZS9	4349.2764	3258.269	7613.3096	3996.4905	6704.709	2427.6863	5559.062	3776.6665	5394.2554	2434.8696	5628.7363	0	0	0	0	0
Q8JZU2	39129.7525	26266.7317	55333.0176	43867.7993	44359.2808	21149.9541	48309.5942	26980.7989	48170.3149	15729.145499999999	43920.905699999996	0	665.2388000000001	0	0	0
Q8JZV7	26821.2312	17889.898699999998	29360.9633	24973.2908	22494.4072	10358.3586	27240.9717	19092.4412	19797.1904	14935.696499999998	17455.6922	0	0	0	0	0
Q8JZV9	60644.096399999995	29865.5798	63688.8814	41832.2386	44041.0745	21399.0567	55798.235	33686.9296	46950.5928	14756.571	46636.1545	0	493.1706	0	0	0
Q8JZX4	11300.3642	9548.6724	15940.4048	11455.6836	9655.9853	11354.394499999999	11433.0488	9526.2519	12051.7002	9080.335500000001	10052.7955	526.0333	0	0	0	0
Q8JZY2	1762.5682	1271.8479	2866.8367	1308.5515	2073.2766	1685.6053	1793.9519	1287.9821	1547.4056	1280.4434	2186.7139	0	0	0	0	0
Q8JZY4	11889.4482	7396.6387	19596.4473	15653.0459	13316.2773	5556.6973	16543.1719	11278.6904	14618.3711	8730.1436	14994.9521	0	284.8128	0	0	0
Q8JZZ0	97697.9219	54631.5794	121066.5869	79843.14749999999	81341.2813	35122.0312	94975.7008	74030.36929999999	87064.7446	36128.3508	78251.872	480.3597	0	0	0	0
Q8JZZ6	3832.199	2768.708	3593.8005	2627.0178	2622.5947	3204.0938	2278.8052	2846.7341	2510.1189	2336.8486	2231.5562	377.4319	0	0	0	0
